Isolate,O,H,Host,Locale,Date,Notes
ECOR-41,7,NM,human,Tonga,1982,Group D strain from a healthy person
ECOR-42,N,26,human,USA (Mass.),1979,Group E strain from a healthy person
ECOR-43,N,N,human,Sweden,no data,Group E strain from a healthy person
ECOR-44,N,N,cougar,USA (Wash.),no data,Group D strain from a healthy cougar in captivity
ECOR-45,N,M,pig,Indonesia,no data,Group B1 strain from a healthy pig
ECOR-46,1,6,ape,USA (Wash.),no data,Group D strain from a healthy ape in captivity
ECOR-47,M,18,sheep,New Guinea,no data,Group D strain from a healthy sheep
ECOR-48,N,M,human,Sweden,no data,Group D strain from a patient with a UTI and acute cystitis
ECOR-49,2,NM,human,Sweden,no data,Group D strain from a healthy person
ECOR-50,2,N,human,Sweden,no data,Group D strain from a patient with a UTI and acute pyelonephritis
ECOR-51,25,N,human (infant),USA (Mass.),no data,Group B2 strain from a healthy infant
ECOR-52,25,1,orangutan,USA (Wash.),no data,Group B2 strain from a healthy orangutan
ECOR-53,4,N,human (child),USA (Iowa),no data,Group B2 strain from a healthy child
ECOR-54,25,1,human,USA (Iowa),no data,Group B2 strain from a healthy person
ECOR-55,25,1,human,Sweden,no data,Group B2 strain from a patient with a UTI and acute pyelonephritis
ECOR-56,6,1,human,Sweden,no data,Group B2 strain from a healthy person
ECOR-57,N,NM,gorilla,USA (Wash.),no data,Group B2 strain from a healthy gorilla in captivity
ECOR-58,112,8,lion,USA (Wash.),no data,Group B1 strain from a healthy lion in captivity
ECOR-59,4,40,human,USA (Mass.),1979,Group B2 strain from a healthy person
ECOR-60,4,N,human,Sweden,no data,Group B2 strain from a patient with a UTI and acute cystitis
ECOR-61,2,NM,human,Sweden,no data,Group B2 strain from a healthy person
ECOR-62,2,NM,human,Sweden,no data,Group B2 strain from a patient with a UTI and acute pyelonephritis
ECOR-63,N,NM,human,Sweden,no data,Group B2 strain from a healthy person
ECOR-64,75,NM,human,Sweden,no data,Group B2 strain from a patient with a UTI and acute cystitis
ECOR-65,N,10,celebese ape,USA (Wash.),no data,Group B2 strain from a healthy celebese ape in captivity
ECOR-66,4,40,celebese ape,USA (Wash.),no data,Group B1 strain from a healthy celebese ape in captivity
ECOR-67,4,43,goat,Indonesia,no data,Group B1 strain from a healthy goat
ECOR-68,N,NM,giraffe,USA (Wash.),no data,Group B1 strain from a healthy giraffe in captivity
ECOR-69,N,NM,celebese ape,USA (Wash.),no data,Group B1 strain from a healthy celebese ape in captivity
ECOR-70,78,NM,gorilla,USA (Wash.),no data,Group B1 strain from a healthy gorilla in captivity
ECOR-71,78,NM,human,Sweden,no data,Group B1 strain from a person with asymptomatic bacteriuria
ECOR72,144,8,human,Sweden,no data,Group B1 strain from a patient with a UTI and acute pyelonephritis
