"accession" "strain" "reported_phylogroup" "ezClermont_phylogroup" "match"
"56" "GCA_002190025.1" "ECOR68" "B1" "B1" TRUE
"57" "GCA_002190035.1" "ECOR69" "B1" "B1" TRUE
"58" "GCA_002190075.1" "ECOR70" "C" "U" FALSE
"59" "GCA_002190085.1" "ECOR71" "B1" "B1" TRUE
"60" "GCA_002190095.1" "ECOR72" "B1" "U" FALSE
"61" "GCA_002190105.1" "ECOR01" "A" "A" TRUE
"62" "GCA_002190145.1" "ECOR02" "A" "A" TRUE
"63" "GCA_002190155.1" "ECOR03" "A" "A" TRUE
"64" "GCA_002190165.1" "ECOR04" "A" "D" FALSE
"65" "GCA_002190205.1" "ECOR05" "A" "A" TRUE
"66" "GCA_002190225.1" "ECOR06" "A" "A" TRUE
"67" "GCA_002190245.1" "ECOR07" "A" "A" TRUE
"68" "GCA_002190275.1" "ECOR08" "A" "A" TRUE
"69" "GCA_002190285.1" "ECOR09" "A" "A" TRUE
"70" "GCA_002190295.1" "ECOR10" "A" "A" TRUE
"71" "GCA_002190305.1" "ECOR11" "A" "A" TRUE
"72" "GCA_002190355.1" "ECOR12" "A" "A" TRUE
"73" "GCA_002190365.1" "ECOR13" "A" "A" TRUE
"74" "GCA_002190375.1" "ECOR14" "A" "A" TRUE
"75" "GCA_002190395.1" "ECOR15" "A" "A" TRUE
"76" "GCA_002190435.1" "ECOR16" "A" "A" TRUE
"77" "GCA_002190455.1" "ECOR17" "A" "A" TRUE
"78" "GCA_002190465.1" "ECOR18" "A" "A" TRUE
"79" "GCA_002190475.1" "ECOR19" "A" "A" TRUE
"80" "GCA_002190515.1" "ECOR20" "A" "A" TRUE
"81" "GCA_002190535.1" "ECOR22" "A" "A" TRUE
"82" "GCA_002190545.1" "ECOR21" "A" "A" TRUE
"83" "GCA_002190555.1" "ECOR23" "A" "A" TRUE
"84" "GCA_002190595.1" "ECOR24" "A" "A" TRUE
"85" "GCA_002190605.1" "ECOR25" "A" "A" TRUE
"86" "GCA_002190625.1" "ECOR26" "B1" "B1" TRUE
"87" "GCA_002190645.1" "ECOR27" "B1" "B1" TRUE
"88" "GCA_002190675.1" "ECOR28" "B1" "B1" TRUE
"89" "GCA_002190685.1" "ECOR29" "B1" "B1" TRUE
"90" "GCA_002190705.1" "ECOR30" "B1" "B1" TRUE
"91" "GCA_002190715.1" "ECOR31" "E" "E" TRUE
"92" "GCA_002190745.1" "ECOR32" "B1" "B1" TRUE
"93" "GCA_002190775.1" "ECOR33" "B1" "B1" TRUE
"94" "GCA_002190785.1" "ECOR34" "B1" "B1" TRUE
"95" "GCA_002190815.1" "ECOR35" "F" "F" TRUE
"96" "GCA_002190825.1" "ECOR36" "F" "F" TRUE
"97" "GCA_002190835.1" "ECOR37" "E" "E" TRUE
"98" "GCA_002190865.1" "ECOR38" "F" "F" TRUE
"99" "GCA_002190875.1" "ECOR39" "F" "F" TRUE
"100" "GCA_002190885.1" "ECOR41" "F" "F" TRUE
"101" "GCA_002190935.1" "ECOR42" "E" "E" TRUE
"102" "GCA_002190945.1" "ECOR47" "D (CGA +)" "D" TRUE
"103" "GCA_002190955.1" "ECOR43" "A" "A" TRUE
"104" "GCA_002190975.1" "ECOR49" "D" "D" TRUE
"105" "GCA_002191015.1" "ECOR46" "D" "G" FALSE
"106" "GCA_002191025.1" "ECOR48" "D" "D" TRUE
"107" "GCA_002191035.1" "ECOR50" "D" "D" TRUE
"108" "GCA_002191055.1" "ECOR40" "F" "F" TRUE
"109" "GCA_002191075.1" "ECOR44" "D" "G" FALSE
"110" "GCA_002191105.1" "ECOR45" "B1" "B1" TRUE
"111" "GCA_002191135.1" "ECOR51" "B2 II" "U" FALSE
"112" "GCA_003028815.1" "APEC01" "B2" "A" FALSE
